Format Name;HydroMonitor - open data exchange format;;;
Format Version;1.1;;;
Format Definition;http://hydromonitor.nl/downloads/hydromonitor_data_exchange_format.pdf;;;
File Type;CSV;;;
File Contents;Header;Data;;
Object Type;ManualMeasurement ;;;
Object Identification;LoggerSerial;;;
;;;;
LoggerSerial;DateTime;ManualHead;Comment;CommentBy
[String];[dd-mm-yyyy HH:MM];[-m+topw];[String];[String]
62741;9-6-2011 17:20;0,75;;
62717;9-6-2011 17:10;0,89;;
62736;9-6-2011 17:15;1,87;;
62734;9-6-2011 17:25;0,665;;
62727;9-6-2011 17:45;2,57;;
62735;9-6-2011 18:45;0,615;;
62739;9-6-2011 19:10;dry;;
62732;9-6-2011 18:35;dry;;
62737;9-6-2011 19:35;2,37;Logger verwijderd;Asmuth, J.R. von
62729;9-6-2011 19:30;dry;;
62720;9-6-2011 19:45;0,56;;
62724;9-6-2011 19:40;dry;;
62741;1-6-2012 15:55;0,698;;
62717;1-6-2012 15:50;0,759;;
62736;1-6-2012 15:49;1,562;;
62734;1-6-2012 16:05;0,418;;
62727;1-6-2012 15:32;2,296;;
62735;1-6-2012 13:40;0,34;;
62739;1-6-2012 13:53;1,583;;
62732;1-6-2012 13:35;2,05;;
62737;1-6-2012 14:25;2,347;;
62729;1-6-2012 14:25;dry;;
62720;1-6-2012 14:35;0,42;;
62724;1-6-2012 14:30;dry;;
62725;1-6-2012 13:20;3,85;;
62741;16-11-2013 10:45;0,458;;
62717;16-11-2013 10:50;0,589;;
62736;16-11-2013 11:00;1,625;;
62734;16-11-2013 11:20;0,38;;
62727;16-11-2013 11:45;2,41;;
62735;16-11-2013 13:50;0,282;;
62739;16-11-2013 14:05;1,16;;
62732;16-11-2013 14:30;1,872;;
62737;16-11-2013 15:00;2,347;;
62729;16-11-2013 15:05;4,26;;
62720;16-11-2013 15:10;0,368;;
62724;16-11-2013 15:45;dry;;
